category,secondary_category,secondary_rule,board,code,name,fund_type
行业-交通运输,交运综合,命中关键词：交运,物流/交运/航空航运,159662,交运ETF南方,指数型-股票
行业-交通运输,交运综合,命中关键词：交通运输,物流/交运/航空航运,159666,交通运输ETF华夏,指数型-股票
行业-交通运输,交运综合,命中关键词：交运,物流/交运/航空航运,561320,交运ETF国泰,指数型-股票
行业-交通运输,物流,命中关键词：物流,物流/交运/航空航运,516530,物流ETF银华,指数型-股票
行业-交通运输,物流,命中关键词：物流,物流/交运/航空航运,516910,物流ETF富国,指数型-股票
行业-农业养殖,农业/农牧渔,命中关键词：农业,农业/畜牧/粮食,159041,农业ETF鹏华,指数型-股票
行业-农业养殖,农业/农牧渔,命中关键词：农牧,农业/畜牧/粮食,159173,南方中证全指农牧渔ETF,指数型-股票
行业-农业养殖,农业/农牧渔,命中关键词：农牧,农业/畜牧/粮食,159275,农牧渔ETF华宝,指数型-股票
行业-农业养殖,农业/农牧渔,命中关键词：农牧,农业/畜牧/粮食,159616,农牧ETF建信,指数型-股票
行业-农业养殖,农业/农牧渔,命中关键词：农业,农业/畜牧/粮食,159825,农业ETF富国,指数型-股票
行业-农业养殖,农业/农牧渔,命中关键词：农业,农业/畜牧/粮食,159827,农业ETF银华,指数型-股票
行业-农业养殖,农业/农牧渔,命中关键词：农业,农业/畜牧/粮食,512620,农业ETF天弘,指数型-股票
行业-农业养殖,农业/农牧渔,命中关键词：农业,农业/畜牧/粮食,516550,农业ETF嘉实,指数型-股票
行业-农业养殖,农业/农牧渔,命中关键词：农业,农业/畜牧/粮食,516810,农业ETF华夏,指数型-股票
行业-农业养殖,农业/农牧渔,命中关键词：农牧,农业/畜牧/粮食,560210,农牧渔ETF景顺,指数型-股票
行业-农业养殖,农业/农牧渔,命中关键词：农业,农业/畜牧/粮食,562900,农业ETF易方达,指数型-股票
行业-农业养殖,畜牧养殖,命中关键词：畜牧,农业/畜牧/粮食,159007,华泰柏瑞中证畜牧养殖产业ETF,指数型-股票
行业-农业养殖,畜牧养殖,命中关键词：养殖,农业/畜牧/粮食,159011,养殖ETF华安,指数型-股票
行业-农业养殖,畜牧养殖,命中关键词：畜牧,农业/畜牧/粮食,159020,易方达中证畜牧养殖产业ETF,指数型-股票
行业-农业养殖,畜牧养殖,命中关键词：养殖,农业/畜牧/粮食,159023,养殖ETF万家,指数型-股票
行业-农业养殖,畜牧养殖,命中关键词：畜牧,农业/畜牧/粮食,159027,畜牧养殖ETF大成,指数型-股票
行业-农业养殖,畜牧养殖,命中关键词：养殖,农业/畜牧/粮食,159165,养殖ETF永赢,指数型-股票
行业-农业养殖,畜牧养殖,命中关键词：养殖,农业/畜牧/粮食,159172,养殖ETF汇添富,指数型-股票
行业-农业养殖,畜牧养殖,命中关键词：养殖,农业/畜牧/粮食,159865,养殖ETF国泰,指数型-股票
行业-农业养殖,畜牧养殖,命中关键词：养殖,农业/畜牧/粮食,159867,养殖ETF鹏华,指数型-股票
行业-农业养殖,畜牧养殖,命中关键词：畜牧,农业/畜牧/粮食,512450,畜牧养殖ETF广发,指数型-股票
行业-农业养殖,畜牧养殖,命中关键词：畜牧,农业/畜牧/粮食,516670,畜牧养殖ETF招商,指数型-股票
